"area_sqrt","value","Scheme","variable","Framework"
27.08528183,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
29.38335316,29055.5381,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
31.05467777,174122.3428,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
31.47250892,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
34.08395362,170657.4663,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
37.11322948,167237.9225,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
37.7399762,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
40.03804754,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
40.03804754,163881.7677,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
42.33611887,28934.8373,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
43.06732339,160440.3259,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
44.63419021,29025.3629,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
46.09659924,157006.5676,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
46.93226155,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
49.02141731,153619.6787,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
49.23033288,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
51.52840422,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
52.05069316,150195.5248,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
53.82647555,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
55.07996901,146750.6255,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
56.12454689,29115.8886,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
58.00478707,143385.2504,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
58.42261822,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
60.72068956,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
61.03406292,139961.0965,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
62.80984532,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
64.16779656,136572.6709,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
67.3015302,133246.4817,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
70.43526384,129861.5137,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
72.00213066,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
73.56899748,126497.2912,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
74.300202,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
76.59827333,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
76.82808047,123354.3536,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
78.89634467,29100.801,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
80.98550043,120945.1138,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
81.194416,29130.9762,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
83.28357176,119675.4915,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
83.49248734,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
85.52941421,118441.1365,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
85.79055868,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
88.08863001,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
89.5278262,116102.6618,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
90.38670135,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
91.84911038,114904.0351,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
92.68477268,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
94.01660948,113783.7801,"2","p_mu","Paul and Cressie (2011): log-normal block-kriging"
94.98284402,29266.7647,"1","p_mu","Paul and Cressie (2011): log-normal block-kriging"
