Level,Easting,Northing,Americium
4,720600,936200,14000
4,720600,936600,12000
4,720600,937000,15200
4,721000,936200,25000
4,721000,936600,15000
4,720600,936200,14000
4,720600,936600,12000
4,720600,937000,15200
4,721000,936200,25000
4,721000,936600,15000
4,720900,937000,10900
4,720600,936200,12300
4,720600,936300,15300
4,720600,936400,10300
4,720600,936500,10300
4,720600,936600,12300
4,720600,936700,10900
4,720600,936800,12300
4,720600,936900,10900
4,720600,937000,15900
4,720700,936100,12300
4,720700,936200,17600
4,720700,936300,22600
4,720700,936400,22600
4,720700,936500,19600
4,720700,936600,10900
4,720700,936700,17900
4,720700,936800,12900
4,720700,936900,16900
4,720700,937000,13900
4,720700,937100,12900
4,720800,936000,12300
4,720800,936100,17300
4,720800,936500,22600
4,720800,936600,12900
4,720800,936700,12900
4,720800,936800,10900
4,720800,936900,13900
4,720900,936600,18900
4,720900,936700,13900
4,720900,936800,12900
4,721000,935900,15300
4,721000,936600,16300
4,721000,936700,13900
4,721100,935700,15300
4,721100,935800,16300
4,721100,935900,17300
4,721100,936700,10900
4,721300,936400,22600
4,721300,936500,12600
4,721300,936600,10900
4,721400,936400,18300
4,721400,936500,17600
4,721500,935900,12300
4,721500,936300,17900
4,721500,936400,15600
4,721500,936500,17600
4,721600,935900,15300
4,721600,936200,22600
4,721600,936300,12900
4,721700,935900,22300
4,721700,936200,17600
4,721800,935900,15300
4,721800,936200,12300
4,721900,935800,12300
4,721900,935900,17300
4,721900,936100,12300
4,721900,936200,12600
4,722000,935800,17300
4,722000,935900,22300
4,722000,936100,12300
4,722000,936200,12600
4,722100,935800,12300
4,722100,935900,22300
4,722100,936000,17300
4,722200,935800,17300
4,722200,935900,17300
5,722200,936000,27300
5,720800,936200,27600
5,720800,936300,32600
5,720800,936400,27600
5,720900,936000,45300
5,720900,936100,37300
5,720900,936400,47600
5,720900,936500,27600
5,721000,936400,47300
5,721000,936500,27300
5,721100,936400,37600
4,721100,936500,15600
5,721200,935900,27300
5,721200,936400,25600
5,721200,936500,27600
5,721300,936300,27900
5,721400,935900,37300
5,721400,936300,34300
5,721500,936200,42600
5,721700,936100,29300
5,721800,936000,36300
5,721800,936100,32300
5,721900,936000,37300
5,722000,936000,37300
6,720900,936200,55600
6,720900,936300,52600
6,721000,936000,77300
6,721000,936100,92300
6,721000,936200,95300
6,721000,936300,72300
6,721100,936000,87300
6,721100,936100,57300
6,721100,936200,117300
6,721100,936300,92600
6,721200,936000,89300
5,721200,936100,42300
6,721200,936200,97300
6,721200,936300,62600
6,721300,935900,69300
6,721300,936000,82300
6,721300,936100,92300
6,721300,936200,62600
6,721400,936000,92300
6,721400,936100,147300
6,721400,936200,72300
6,721500,936000,62300
6,721500,936100,67300
5,721600,936000,42300
6,721600,936100,65300
6,721700,936000,57300
4,722243,935918,15000
4,720927,936670,14900
4,721266,936545,5800
4,722014,935845,20800
4,722168,935993,18400
4,721295,935852,15200
4,720581,937005,14900
4,720645,936147,13200
4,720585,936985,12900
4,720611,936704,15200
4,720714,936250,30100
4,720643,936893,13200
4,720711,936331,15200
4,722172,935990,20700
4,722259,936019,29700
5,721304,936313,20800
5,720802,936446,34000
5,721915,935986,30500
5,721037,936394,15500
5,721256,936332,13200
5,720931,936044,74000
5,721338,936311,23500
5,721985,936038,27200
5,721296,935878,29000
5,722040,936039,36000
5,721849,936123,10800
5,721887,936093,10800
5,721674,936136,30200
5,721270,936309,25200
5,721663,935974,36600
5,721330,936340,20500
5,721372,936320,35500
5,720826,936254,72000
5,720784,936204,49000
5,720965,935985,49300
6,721112,936259,93800
6,720973,936326,51400
6,721124,936261,95800
6,721298,935992,144000
6,721541,936152,50300
6,720879,936271,61400
6,721253,936057,89600
6,721597,935990,74600
6,721276,936085,75500
6,721122,936279,81400
6,720923,936212,93800
6,720944,936323,36400
6,721279,935945,94900
6,721610,936120,49300
6,721538,936140,44600
6,721001,936263,91400
6,721341,936277,30500
6,721026,936063,91900
6,721043,936327,51400
6,721350,935915,25500
6,721168,936071,95200
6,721369,936248,49300
6,721373,936239,65500
6,721032,936177,91400
6,721068,936250,95800
6,721404,936216,65200
6,721091,936118,90200
6,721487,936134,59600
6,721239,936016,89600
6,721355,936108,943000
6,721313,935964,95200
6,721189,936107,95200
6,721080,936264,170200
6,721093,935999,85200
6,720983,936085,79700
6,721589,936008,84600
6,721273,936194,87800
6,720941,936254,90800
6,720988,936031,94600
6,721231,936303,31400
6,721341,936119,468000
6,720894,936250,74400
6,721348,936035,291000
6,721218,936258,56400
6,721595,935986,84900
6,721099,936041,95200
6,720973,936248,86400
6,721238,936004,84900
6,721451,936209,44900
6,721070,936082,92600
